E633DC8E // Pat:0
EAC73C94 // Pat:0
E6F95256 // Pat:0
CA4AD7F4 // Pat:0
E3E71702 // Pat:1
15B481D7 // Pat:1
6B1DA501 // Pat:1
3F3B9420 // Pat:1
4BB9957C // Pat:2
6BD8B05A // Pat:2
BA7E297F // Pat:2
5B3B4F8E // Pat:2
3D3D2E3D // Pat:3
B2EBB673 // Pat:3
BF780264 // Pat:3
B20694C8 // Pat:3
269103D8 // Pat:4
BB8D7179 // Pat:4
88D9B401 // Pat:4
D3DBEE3B // Pat:4
462B7C87 // Pat:5
2EA24DD0 // Pat:5
23B1E703 // Pat:5
817D05B5 // Pat:5
E983B55C // Pat:6
3E1159AB // Pat:6
21493D63 // Pat:6
8DDEAF8E // Pat:6
474D567B // Pat:7
783DA754 // Pat:7
4F6CD1EE // Pat:7
B4971958 // Pat:7
7B3BFB6C // Pat:8
A81C8EAC // Pat:8
C0D8C688 // Pat:8
D7006B07 // Pat:8
57BE0A72 // Pat:9
D0072222 // Pat:9
A0FA8469 // Pat:9
6679A89B // Pat:9
0648C78B // Pat:10
21A0AF76 // Pat:10
16BD57A4 // Pat:10
E22BE755 // Pat:10
5AA24062 // Pat:11
E42E4D02 // Pat:11
80845976 // Pat:11
7E0DE69A // Pat:11
084E8ED9 // Pat:12
A9FB4C32 // Pat:12
BEDF6670 // Pat:12
B37CDF03 // Pat:12
5D641666 // Pat:13
6C0E2A9C // Pat:13
A38C1FC6 // Pat:13
3A72D59B // Pat:13
C129ACBD // Pat:14
3874059B // Pat:14
9BEBABD3 // Pat:14
9D3DCAFF // Pat:14
7976DB58 // Pat:15
663D6000 // Pat:15
F89A3DF8 // Pat:15
F34C6882 // Pat:15
E645471A // Pat:16
08BD2460 // Pat:16
B2692B17 // Pat:16
4EBAF51F // Pat:16
DF576833 // Pat:17
F0BD7039 // Pat:17
B38B7DA6 // Pat:17
0102F0E4 // Pat:17
F037D03A // Pat:18
F081015B // Pat:18
B5D6645F // Pat:18
600012FD // Pat:18
01B42B59 // Pat:19
1F451F76 // Pat:19
C3364A37 // Pat:19
FA107EA5 // Pat:19
97C4F3E1 // Pat:20
45550A7E // Pat:20
6F0FE048 // Pat:20
FB3AC54F // Pat:20
DC82137B // Pat:21
3A2312D9 // Pat:21
427E1213 // Pat:21
DF46B368 // Pat:21
2027FFA6 // Pat:22
D1E7008A // Pat:22
5B385831 // Pat:22
161E5DA9 // Pat:22
E2867B0F // Pat:23
D9EF7873 // Pat:23
BBF08100 // Pat:23
AF7D0B44 // Pat:23
A41F7A76 // Pat:24
8868E212 // Pat:24
AF4F0213 // Pat:24
17B5F720 // Pat:24
17F3CAF0 // Pat:25
472325E7 // Pat:25
D37D62EF // Pat:25
7D58E218 // Pat:25
DC11FFED // Pat:26
D141B522 // Pat:26
4F3C2863 // Pat:26
20C3A00D // Pat:26
94AF1377 // Pat:27
FF070642 // Pat:27
10FFA02F // Pat:27
4B3AF255 // Pat:27
F6956D1D // Pat:28
A565ECB2 // Pat:28
35879A9A // Pat:28
61949DE0 // Pat:28
9BEE3F60 // Pat:29
447BBCAF // Pat:29
1283A23F // Pat:29
B07F902B // Pat:29
5B1D5CAD // Pat:30
F485E2FB // Pat:30
68A497DC // Pat:30
70AD34DE // Pat:30
E23B60F3 // Pat:31
3E7C541F // Pat:31
56207FC2 // Pat:31
FF919869 // Pat:31
5EB5B9C2 // Pat:32
E72D97F1 // Pat:32
9F2ED516 // Pat:32
41FE1A69 // Pat:32
015990E7 // Pat:33
2008AA75 // Pat:33
2FA65C29 // Pat:33
7699E2B1 // Pat:33
18178CBB // Pat:34
7906B8A3 // Pat:34
2C93C087 // Pat:34
7F6D0F0D // Pat:34
4BF2560E // Pat:35
